Mean_A_X,Mean_A_Z,Mean_A_Y,Mean_M_Z,Mean_M_X,Mean_M_Y,Mean_G_Y,Mean_G_Z,Mean_G_X,Median_A_X,Median_A_Z,Median_A_Y,Median_M_Z,Median_M_X,Median_M_Y,Median_G_Y,Median_G_Z,Median_G_X,RMS_A_X,RMS_A_Z,RMS_A_Y,RMS_M_Z,RMS_M_X,RMS_M_Y,RMS_G_Y,RMS_G_Z,RMS_G_X,STD_A_X,STD_A_Z,STD_A_Y,STD_M_Z,STD_M_X,STD_M_Y,STD_G_Y,STD_G_Z,STD_G_X,Target
9.659592321,-1.208687651,-1.258506809,-0.310822368,0.738853079,-0.747802578,-6.890539355,-3.444218125,32.26902729,9.638426113,-1.277766018,-1.346269438,-0.3325,0.738866397,-0.75708502,-6.828261202,-4.852372155,32.5234589,9.669131356,1.314875544,1.326311205,0.402061505,0.739555367,0.752273881,13.01655127,10.15052015,32.98799211,0.430811339,0.51937126,0.420027022,0.255878207,0.032328698,0.08216882,11.07965241,9.579885099,6.872278621,3
9.8079396,0.571932563,1.052603272,0.181794479,0.914495417,-0.586758898,1.388178714,2.36917085,20.45341256,9.796873855,0.574737413,1.068018698,0.085,0.937246964,-0.55465587,-0.535250038,2.268023184,24.83020675,9.809226531,0.725442211,1.166956425,0.381693785,0.916395729,0.611308048,9.475612434,3.406717441,24.01981185,0.159379323,0.447648215,0.50535176,0.336654463,0.059167052,0.172026386,9.402262372,2.455554014,12.63282808,3
9.514930237,0.63491392,-1.742497964,-0.040977157,0.803674551,-0.138011468,-19.15053995,-1.647411346,55.33520665,9.50401481,0.715694641,-2.218750319,0.095,0.896761134,0.099190283,-15.99632971,1.37357596,55.51519624,9.527986366,1.132671335,2.461672159,0.417445132,0.821915041,0.495718211,28.62801705,13.07715709,63.03184197,0.499895285,0.940381618,1.743260406,0.416487488,0.172634969,0.477332126,21.33378746,13.00602695,30.26014059,3
9.560856647,-0.702138133,-2.238380649,0.055584795,0.684577503,-0.789603902,-4.426522288,-3.568007153,24.59212647,9.559276702,-0.851140986,-2.268112755,0.055,0.668016194,-0.846153846,-4.878421777,-3.766603713,23.74003784,9.565745795,0.930683945,2.258677448,0.312786126,0.686791186,0.80130281,9.393867504,6.082805581,25.91994094,0.306696698,0.612674295,0.303006276,0.308711545,0.055259686,0.136825995,8.309902192,4.940912114,8.213719478,3
9.635801439,1.623622131,-0.949071212,-0.42310559,0.960645762,0.199134961,-7.487231413,-3.025940722,15.63045404,9.651239252,1.374153635,-1.209951538,-0.525,0.953441296,0.182186235,-5.811286129,-3.383487468,17.7350772,9.64808978,1.772301158,1.45258928,0.47762945,0.96246662,0.213436849,12.15560891,7.214291209,18.87476388,0.488311452,0.712782023,1.103103552,0.222302717,0.05935993,0.07705475,9.605900262,6.569455145,10.61344798,3
9.622881694,-0.062150826,-1.998017793,0.119459064,0.69871203,-0.75098847,-4.374472911,-1.798420578,21.03778806,9.644160459,-0.288851499,-2.056241989,0.2875,0.708502024,-0.732793522,-3.716164551,-1.88098854,10.42345777,9.628105763,1.01100827,2.038982717,0.310222696,0.700032291,0.758124133,16.99690151,4.839971035,35.6042589,0.318056699,1.012059707,0.407858084,0.28714076,0.043099548,0.104076237,16.47256699,4.506636623,28.80847282,3
9.158288132,-1.775804454,-2.953425723,-0.754257576,0.63375046,-0.479020979,-14.34071561,-5.578809984,27.52075995,9.245704124,-1.78632284,-2.950859468,-0.7575,0.572874494,-0.481781377,-11.77550084,-6.129661706,32.94903969,9.171335411,1.922105525,2.998530622,0.764553717,0.645494647,0.5647206,19.73978989,12.55538061,31.56370643,0.490520099,0.737771659,0.519710834,0.125432248,0.122944301,0.299989456,13.60607038,11.2821049,15.50264147,3
9.76644964,-0.665960349,-0.99999206,0.058088235,0.792589505,-0.535405255,-3.484672658,-3.329910333,33.13184665,9.763405597,-0.924719264,-1.040925681,0.0625,0.775303644,-0.663967611,-2.645664475,-3.194603568,34.74148966,9.769710232,1.162645692,1.020721816,0.415959056,0.793785461,0.588841201,9.038148727,5.758272678,36.71178621,0.253633849,0.957723505,0.205678507,0.413917109,0.043772356,0.246312761,8.380558162,4.721007344,15.89061319,3
9.499095343,1.758062685,-1.281968638,0.268417085,0.855176693,0.277867068,-3.681275317,-2.071711486,21.7260403,9.496721345,1.724368782,-2.131689978,0.3325,0.870445344,0.194331984,-3.349135954,-0.173860007,26.79819877,9.50367268,1.879500392,2.062901598,0.392009223,0.857591475,0.35430713,12.26531619,8.934347672,27.52785878,0.295671063,0.666309476,1.620281437,0.286418818,0.064473641,0.220380336,11.72934515,8.712752,16.9471362,3
9.139424382,3.71516548,-0.628466114,0.651444805,0.60645933,0.178269099,5.784176063,-15.28416607,-21.66799982,9.126076634,3.802088975,-0.601803811,0.7075,0.560728745,0.281376518,7.432329102,-15.21458676,-15.28931843,9.151072234,3.757278708,0.936332767,0.662155111,0.625244506,0.271265753,14.83927701,18.44772762,27.35078404,0.463073906,0.562801508,0.696346237,0.119000049,0.15260734,0.205130382,13.710143,10.36389849,16.74466619,4
